Practice Name,lat,lon,display_address,Nation
Milltown Dental Clinic,53.3136005,-6.2465302,"Milltown Road, Dublin",Ireland
Gorey Dental Practice,52.6735877,-6.3020356,"34 McCurtain Street, Gorey, Wexford, Y25 Y5C1",Ireland
Shields,52.956249,-7.799163,Tipperary,Ireland
Dr. Con OâLeary,51.8802962,-9.5845448,Kerry,Ireland
Kinnegad Dental,53.4536921,-7.0978144,Westmeath,Ireland
3Dental,52.6643839,-8.6242003,Limerick,Ireland
O'Connor Restorative Dental,52.6660152,-8.6203901,Limerick,Ireland
Shields Dental & Implant Clinic Limerick,52.6534841,-8.6477384,"10 Courtbrack Avenue, Limerick, V94 K5TX",Ireland
Avondale Dental & Implant Clinic,53.1935402,-6.1065904,"3 Newtown vevay, Vevay Road, Bray, Co. Wicklow, Wicklow",Ireland
Ardara Dental,54.762384,-8.4126366,Donegal,Ireland
Fingerpost Dental,51.8758271,-8.4326003,"Douglas, Cork",Ireland
Bridget Dineen,51.8765085,-8.4346584,"10 Tramway Terrace, Douglas, Cork",Ireland
Ulick Cronin,51.8766348,-8.4349877,"5 Tramway Terrace, Douglas, Cork",Ireland
Clermont Clinic,51.8804151,-8.4416636,"Douglas Road, Cork",Ireland
Oscar Dermody,51.8883168,-8.4680437,Cork,Ireland
Brian Hickey Dental Surgery,51.8949888,-8.4708181,Cork,Ireland
Crotty Orthodontics,51.8835569,-8.4477935,"Douglas Road, Cork",Ireland
Medi-Center,53.3419918,-6.3527075,Dublin,Ireland
Ballyfermot Dental Practice,53.3424492,-6.3508758,"276 Ballyfermot Road, Dublin, D10 FA31",Ireland
Boyne Dental,53.513292,-6.5401224,"Main Street, Dunshaughlin, Meath",Ireland
All Smile,52.3393122,-6.4645294,"27 John's Gate Street, Wexford",Ireland
Perfect Smile Implant Centre Hungary,52.3400948,-6.4627208,"71 North Main Street, Wexford",Ireland
Rathcoole Dental,53.2816058,-6.4654608,Dublin,Ireland
BlÃ¡ithÃ­n & Rory Dwyer,52.3357717,-6.4627121,"1 Saint Peter's Square, Wexford",Ireland
Pembroke Dental,53.3301151,-6.2325437,"166 Pembroke Road, Dublin, D04 W996",Ireland
Woodstown Dental Centre,53.2757196,-6.330744,"11 Woodstown Shopping Centre, Dublin",Ireland
Cork City Dental,51.9002731,-8.471119,Cork,Ireland
Santry Dental,53.3969084,-6.2449744,"37 Swords Road, Dublin",Ireland
Jack Grennan Dental Surgery,53.2917568,-6.1367534,"103 Patrick Street, DÃºn Laoghaire, Dublin",Ireland
Grafton Dental Surgery,53.3401127,-6.2605106,"Grafton Street, Dublin",Ireland
Phibsborough Dental & Medical Centre,53.3606577,-6.274037,"340a North Circular Road, Dublin, D07 C9HE",Ireland
